seed,drift_time,mode,recovery_lag,post_drift_accuracy
7,30,stability_aware,10,0.0
7,30,static,10,0.0
7,40,global_decay,10,0.0
7,40,stability_aware,10,0.0
7,40,static,10,0.0
7,50,global_decay,10,0.0
7,50,stability_aware,10,0.0
7,50,static,10,0.0
7,60,global_decay,10,0.0
7,60,stability_aware,10,0.0
7,60,static,10,0.0
7,70,global_decay,10,0.0
7,70,stability_aware,10,0.0
7,70,static,10,0.0
7,80,global_decay,10,0.0
7,80,stability_aware,10,0.0
7,80,static,10,0.0
8,10,global_decay,5,0.8
8,10,stability_aware,10,0.0
8,10,static,10,0.0
8,20,global_decay,9,0.9
8,20,stability_aware,10,0.0
8,20,static,10,0.0
8,30,global_decay,10,0.0
8,30,stability_aware,10,0.0
8,30,static,10,0.0
8,40,global_decay,10,0.0
8,40,stability_aware,10,0.0
8,40,static,10,0.0
8,50,global_decay,10,0.0
8,50,stability_aware,10,0.0
8,50,static,10,0.0
8,60,global_decay,10,0.0
8,60,stability_aware,10,0.0
8,60,static,10,0.0
8,70,global_decay,10,0.0
8,70,stability_aware,10,0.0
8,70,static,10,0.0
8,80,global_decay,10,0.0
8,80,stability_aware,10,0.0
8,80,static,10,0.0
9,10,global_decay,10,0.0
9,10,stability_aware,10,0.0
9,10,static,10,0.0
9,20,global_decay,10,0.0
9,20,stability_aware,10,0.0
9,20,static,10,0.0
9,30,global_decay,10,0.0
9,30,stability_aware,10,0.0
9,30,static,10,0.0
9,40,global_decay,10,0.0
9,40,stability_aware,10,0.0
9,40,static,10,0.0
9,50,global_decay,10,0.0
9,50,stability_aware,10,0.0
9,50,static,10,0.0
9,60,global_decay,10,0.0
9,60,stability_aware,10,0.0
9,60,static,10,0.0
9,70,global_decay,10,0.0
9,70,stability_aware,10,0.0
9,70,static,10,0.0
9,80,global_decay,10,0.0
9,80,stability_aware,10,0.0
9,80,static,10,0.0
10,10,global_decay,10,0.0
10,10,stability_aware,10,0.0
10,10,static,10,0.0
10,20,global_decay,10,0.0
10,20,stability_aware,10,0.0
10,20,static,10,0.0
10,30,global_decay,10,0.0
10,30,stability_aware,10,0.0
10,30,static,10,0.0
10,40,global_decay,10,0.0
10,40,stability_aware,10,0.0
10,40,static,10,0.0
10,50,global_decay,10,0.0
10,50,stability_aware,10,0.0
10,50,static,10,0.0
10,60,global_decay,10,0.0
10,60,stability_aware,10,0.0
10,60,static,10,0.0
10,70,global_decay,10,0.0
10,70,stability_aware,10,0.0
10,70,static,10,0.0
10,80,global_decay,10,0.0
10,80,stability_aware,10,0.0
10,80,static,10,0.0
11,10,global_decay,9,0.8
11,10,stability_aware,10,0.0
11,10,static,10,0.0
11,20,global_decay,10,0.0
11,20,stability_aware,10,0.0
11,20,static,10,0.0
11,30,global_decay,10,0.0
11,30,stability_aware,10,0.0
11,30,static,10,0.0
11,40,global_decay,10,0.0
11,40,stability_aware,10,0.0
11,40,static,10,0.0
11,50,global_decay,10,0.0
11,50,stability_aware,10,0.0
11,50,static,10,0.0
11,60,global_decay,10,0.0
11,60,stability_aware,10,0.0
11,60,static,10,0.0
11,70,global_decay,10,0.0
11,70,stability_aware,10,0.0
11,70,static,10,0.0
11,80,global_decay,10,0.0
11,80,stability_aware,10,0.0
11,80,static,10,0.0
12,10,global_decay,10,0.0
12,10,stability_aware,10,0.0
12,10,static,10,0.0
12,20,global_decay,10,0.0
12,20,stability_aware,10,0.0
12,20,static,10,0.0
12,30,global_decay,10,0.0
12,30,stability_aware,10,0.0
12,30,static,10,0.0
12,40,global_decay,10,0.0
12,40,stability_aware,10,0.0
12,40,static,10,0.0
12,50,global_decay,10,0.0
12,50,stability_aware,10,0.0
12,50,static,10,0.0
12,60,global_decay,10,0.0
12,60,stability_aware,10,0.0
12,60,static,10,0.0
12,70,global_decay,10,0.0
12,70,stability_aware,10,0.0
12,70,static,10,0.0
12,80,global_decay,10,0.0
12,80,stability_aware,10,0.0
12,80,static,10,0.0
13,10,global_decay,10,0.0
13,10,stability_aware,10,0.0
13,10,static,10,0.0
13,20,global_decay,10,0.0
13,20,stability_aware,10,0.0
13,20,static,10,0.0
13,30,global_decay,10,0.0
13,30,stability_aware,10,0.0
13,30,static,10,0.0
13,40,global_decay,10,0.0
13,40,stability_aware,10,0.0
13,40,static,10,0.0
13,50,global_decay,10,0.0
13,50,stability_aware,10,0.0
13,50,static,10,0.0
13,60,global_decay,10,0.0
13,60,stability_aware,10,0.0
13,60,static,10,0.0
13,70,global_decay,10,0.0
13,70,stability_aware,10,0.0
13,70,static,10,0.0
13,80,global_decay,10,0.0
13,80,stability_aware,10,0.0
13,80,static,10,0.0
14,10,global_decay,10,0.0
14,10,stability_aware,10,0.0
14,10,static,10,0.0
14,20,global_decay,10,0.0
14,20,stability_aware,10,0.0
14,20,static,10,0.0
14,30,global_decay,10,0.0
14,30,stability_aware,10,0.0
14,30,static,10,0.0
14,40,global_decay,10,0.0
14,40,stability_aware,10,0.0
14,40,static,10,0.0
14,50,global_decay,10,0.0
14,50,stability_aware,10,0.0
14,50,static,10,0.0
14,60,global_decay,10,0.0
14,60,stability_aware,10,0.0
14,60,static,10,0.0
14,70,global_decay,10,0.0
14,70,stability_aware,10,0.0
14,70,static,10,0.0
14,80,global_decay,10,0.0
14,80,stability_aware,10,0.0
14,80,static,10,0.0
15,10,global_decay,10,0.0
15,10,stability_aware,10,0.0
15,10,static,10,0.0
15,20,global_decay,10,0.0
15,20,stability_aware,10,0.0
15,20,static,10,0.0
15,30,global_decay,10,0.0
15,30,stability_aware,10,0.0
15,30,static,10,0.0
15,40,global_decay,10,0.0
15,40,stability_aware,10,0.0
15,40,static,10,0.0
15,50,global_decay,10,0.0
15,50,stability_aware,10,0.0
15,50,static,10,0.0
15,60,global_decay,10,0.0
15,60,stability_aware,10,0.0
15,60,static,10,0.0
15,70,global_decay,10,0.0
15,70,stability_aware,10,0.0
15,70,static,10,0.0
15,80,global_decay,10,0.0
15,80,stability_aware,10,0.0
15,80,static,10,0.0
16,10,global_decay,10,0.0
16,10,stability_aware,10,0.0
16,10,static,10,0.0
16,20,global_decay,10,0.0
16,20,stability_aware,10,0.0
16,20,static,10,0.0
16,30,global_decay,10,0.0
16,30,stability_aware,10,0.0
16,30,static,10,0.0
16,40,global_decay,10,0.0
16,40,stability_aware,10,0.0
16,40,static,10,0.0
16,50,global_decay,10,0.0
16,50,stability_aware,10,0.0
16,50,static,10,0.0
16,60,global_decay,10,0.0
16,60,stability_aware,10,0.0
16,60,static,10,0.0
16,70,global_decay,10,0.0
16,70,stability_aware,10,0.0
16,70,static,10,0.0
16,80,global_decay,10,0.0
16,80,stability_aware,10,0.0
16,80,static,10,0.0
17,10,global_decay,10,0.0
17,10,stability_aware,10,0.0
17,10,static,10,0.0
17,20,global_decay,10,0.0
17,20,stability_aware,10,0.0
17,20,static,10,0.0
17,30,global_decay,10,0.0
17,30,stability_aware,10,0.0
17,30,static,10,0.0
17,40,global_decay,10,0.0
17,40,stability_aware,10,0.0
17,40,static,10,0.0
17,50,global_decay,10,0.0
17,50,stability_aware,10,0.0
17,50,static,10,0.0
17,60,global_decay,10,0.0
17,60,stability_aware,10,0.0
17,60,static,10,0.0
17,70,global_decay,10,0.0
17,70,stability_aware,10,0.0
17,70,static,10,0.0
17,80,global_decay,10,0.0
17,80,stability_aware,10,0.0
17,80,static,10,0.0
18,10,global_decay,10,0.0
18,10,stability_aware,9,1.0
18,10,static,10,0.0
18,20,global_decay,10,0.0
18,20,stability_aware,10,0.0
18,20,static,10,0.0
18,30,global_decay,10,0.0
18,30,stability_aware,10,0.0
18,30,static,10,0.0
18,40,global_decay,10,0.0
18,40,stability_aware,10,0.0
18,40,static,10,0.0
18,50,global_decay,10,0.0
18,50,stability_aware,10,0.0
18,50,static,10,0.0
18,60,global_decay,10,0.0
18,60,stability_aware,10,0.0
18,60,static,10,0.0
18,70,global_decay,10,0.0
18,70,stability_aware,10,0.0
18,70,static,10,0.0
18,80,global_decay,10,0.0
18,80,stability_aware,10,0.0
18,80,static,10,0.0
19,10,global_decay,10,0.0
19,10,stability_aware,10,0.0
19,10,static,10,0.0
19,20,global_decay,10,0.0
19,20,stability_aware,10,0.0
19,20,static,10,0.0
19,30,global_decay,10,0.0
19,30,stability_aware,10,0.0
19,30,static,10,0.0
19,40,global_decay,10,0.0
19,40,stability_aware,10,0.0
19,40,static,10,0.0
19,50,global_decay,10,0.0
19,50,stability_aware,10,0.0
19,50,static,10,0.0
19,60,global_decay,10,0.0
19,60,stability_aware,10,0.0
19,60,static,10,0.0
19,70,global_decay,10,0.0
19,70,stability_aware,10,0.0
19,70,static,10,0.0
19,80,global_decay,10,0.0
19,80,stability_aware,10,0.0
19,80,static,10,0.0
